Country,Happiness Score,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,airports,alcohol,birthRate,deathRate,gdpPerCapita,growthRate,internetUsers,lifeExpectancy,medianAge,migrationRate,obesity,population,railways,roadways,taxRate,youthUnemployment
Ghana,4.996,0.868,0.486,0.381,0.245,0.04,10,1.59,28.04,5.99,"$5,400",2.19,"22,440,000",69.72,21.4,-0.16,10.9,"33,846,114",947,"65,725",11.34,9.6
Ivory Coast,4.944,0.808,0.232,0.352,0.154,0.09,,,,,,,,,,,,,,,,
Nepal,4.913,1.226,0.677,0.439,0.285,0.089,47,0.36,17.26,5.59,"$3,800",0.74,"15,600,000",72.67,25.3,-4.29,4.1,"30,899,443",59,"27,990",15.77,9.5
Jordan,4.906,1.225,0.815,0.383,0.11,0.13,18,0.25,22.37,3.47,"$9,200",0.79,"9,130,000",76.26,23.5,-10.99,35.5,"11,086,716",509,"7,203",15.81,40.5
Benin,4.883,0.437,0.397,0.349,0.175,0.082,6,1.25,40.72,7.82,"$3,300",3.31,"4,420,000",62.6,17.0,0.24,9.6,"14,219,908",438,"16,000",17.1,3.9
Congo (Brazzaville),4.812,0.799,0.508,0.372,0.105,0.093,,,,,,,,,,,,,,,,
Gabon,4.799,1.183,0.571,0.295,0.043,0.055,44,6.47,25.89,5.59,"$13,800",2.39,"1,656,000",70.03,21.0,3.59,15.0,"2,397,368",649,"14,300",11.48,38.4
Laos,4.796,1.03,0.551,0.547,0.266,0.164,41,8.15,20.35,6.26,"$7,800",1.3,"4,588,000",68.59,24.0,-1.09,5.3,"7,852,377",422,"39,586",18.3,3.3
South Africa,4.722,1.351,0.469,0.389,0.13,0.055,407,7.21,18.24,9.25,"$13,300",0.91,"42,480,000",65.6,28.0,0.11,28.3,"58,048,332","20,986","750,000",23.3,64.2
Albania,4.719,0.848,0.874,0.383,0.178,0.027,3,4.4,12.48,7.36,"$14,500",0.19,"2,291,000",79.7,34.3,-3.22,21.7,"3,101,621",424,"3,945",17.02,27.8
Venezuela,4.707,1.427,0.805,0.154,0.064,0.047,444,2.51,16.99,6.55,"$12,500",2.4,"22,734,162",74.25,30.0,13.55,25.6,"30,518,260",447,"96,189",44.2,14.9
Cambodia,4.7,1.122,0.637,0.609,0.232,0.062,16,4.56,18.75,5.7,"$4,400",1.04,"10,200,000",71.03,26.4,-2.67,3.9,"16,891,245",642,"47,263",17.89,1.8
